,Premise_Code,Premise_Descent
0,0,
1,101,STREET
2,102,SIDEWALK
3,103,ALLEY
4,104,DRIVEWAY
5,105,PEDESTRIAN OVERCROSSING
6,106,TUNNEL
7,107,VACANT LOT
8,108,PARKING LOT
9,109,PARK/PLAYGROUND
10,110,FREEWAY
11,111,BUS-CHARTER/PRIVATE
12,112,"BUS, SCHOOL, CHURCH"
13,113,"TRUCK, COMMERICAL"
14,114,TAXI
15,115,AIRCRAFT
16,116,OTHER/OUTSIDE
17,117,BEACH
18,118,CONSTRUCTION SITE
19,119,"PORCH, RESIDENTIAL"
20,120,STORAGE SHED
21,121,YARD (RESIDENTIAL/BUSINESS)
22,122,"VEHICLE, PASSENGER/TRUCK"
23,123,PARKING UNDERGROUND/BUILDING
24,124,BUS STOP
25,125,PAY PHONE
26,126,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811"
27,127,TRASH CAN/TRASH DUMPSTER
28,128,BUS STOP/LAYOVER (ALSO QUERY 124)
29,129,"TERMINAL, OTHER THAN MTA"
30,135,MTA PROPERTY OR PARKING LOT
31,136,"OTHER INTERSTATE, CHARTER BUS"
32,138,STAIRWELL*
33,139,AMUSEMENT PARK*
34,140,BALCONY*
35,141,CEMETARY*
36,142,DRIVE THRU*
37,143,ESCALATOR*
38,144,GOLF COURSE*
39,145,MAIL BOX
40,146,PATIO*
41,147,POOL-PUBLIC/OUTDOOR OR INDOOR*
42,148,PUBLIC RESTROOM/OUTSIDE*
43,149,RIVER BED*
44,150,TOOL SHED*
45,151,TOW YARD*
46,152,UNDERPASS/BRIDGE*
47,154,TRAIN TRACKS
48,155,DAM/RESERVOIR
49,156,VALET
50,157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOAT"
51,158,TRANSIENT ENCAMPMENT
52,201,JEWELRY STORE
53,202,LIQUOR STORE
54,203,OTHER BUSINESS
55,204,MANUFACTURING COMPANY
56,205,GUN/SPORTING GOODS
57,206,TV/RADIO/APPLIANCE
58,207,BAR/COCKTAIL/NIGHTCLUB
59,208,AUTO SALES LOT
60,209,EQUIPMENT RENTAL
61,210,RESTAURANT/FAST FOOD
62,211,PAWN SHOP
